私は新しいカタカナ辞典を借りました。;わたし は あたらしい かたかな じてん を かりました。;I borrowed a new Katakana dictionary.;hiragana	katakana	translation	applies to	more specifically
鍵 が かちっ と 開く 音 が した。;かぎ が かちっ と あく おと が した。;There was a clicking sound as the lock opened.;かちっ	カチッ	the sound of something clicking open	onomatopoeia
ドアの鍵がカチッと閉まった。;どあ の かぎ が かちっ と しまった。;The door lock clicked securely shut.;かちっ	カチッ	"secure, solid"	resultant state
時計がかちゃかちゃと音を立てている。;とけい が かちゃかちゃ と おと を たてている。;The clock is making a clicking sound.;かちゃかちゃ	カチャカチャ	clicking	onomatopoeia
子どもたちはがちゃがちゃとおもちゃで遊んでいました。;こども たち は がちゃがちゃ と おもちゃ で あそんで いました。;The children were playing noisily with the toys.;がちゃがちゃ	ガチャガチャ	clicking	onomatopoeia
ポケットの中でキーががちゃがちゃ音をたてた。;ぽけっと の なか で きー が がちゃがちゃ おと を たてた。;The keys jangled noisily in my pocket.;がちゃがちゃ	ガチャガチャ	jangling	onomatopoeia
ドアがかちゃっと閉まりました。;ドア が かちゃっ と しまりました。;The door clicked shut.;かちゃっ	カチャッ	clicking	onomatopoeia
食器が落ちて床にがちゃんと音を立てた。;しょっき が おちて ゆか に がちゃん と おと を たてた 。;The dishes fell and made a clanging sound on the floor.;がちゃん	ガチャン	clanging	onomatopoeia
ドアががちゃんと閉まった。;どあ が がちゃん と しまった。;The door slammed shut.;がちゃん	ガチャン	slamming	onomatopoeia
彼の失礼なコメントに私はかちんときた。;かれ の しつれい な こめんと に わたし は か ちん と きた。;I took offense at his rude comment.;かちん	カチン	to take offense	mood	nervous
彼は弾に当たった瞬間、「カチン」と音がして弾丸は壁から跳ね返った。;かれ は たま に あたった しゅんかん、「かちん」 と おと が して だんがん は かべ から はねかえった。;The moment the bullet hit him, there was a 'kachin' sound, and the bullet bounced off the wall.;かちん	カチン	"""kapwing"""	onomatopoeia	bouncing bullet
彼のグラスがテーブルに落ちて、カチンと音がした。;かれ の ぐらす が てーぶる に おちて かちん と おと が した;His glass fell on the table, making a clinking sound.;かちん	カチン	clinking	onomatopoeia
彼は戸をかちんと閉めた。;かれ は と を かちん と しめた。;He shut the door with a crack.;かちん	カチン	cracking	onomatopoeia
扉がガチンと閉まった音がした。;とびら が がちん と しまった おと が した。;The door closed with a clunking sound.;がちん	ガチン	clunking	onomatopoeia
彼女の微笑みにかっとなった。;かのじょ の ほほえみ に かっ と なった。;He was infatuated with her smile.;かっ	カッ	"excited, infatuated, flaring up"	emotions	affection
彼は些細なことでかっとなってしまった。;かれ は ささい な こと で かっ と なって しまった。;He suddenly became enraged over a minor issue.;かっ	カッ	"be enraged, to burst into anger"	emotions	anger
彼はカッと目を見開いた。;かれ は かっ と め を みひらいた.;He opened his eyes wide in a stern manner.;かっ	カッ	stern	eye expressions
彼の顔は怒りでカッと目を見開いた。;かれ の かお は いかり で かっ と め を みひらいた。;His face flashed open in rage.;かっ	カッ	flashing ones eyes open in rage	facial expression
外に出た瞬間、顔がかっとなった。;そと に でた しゅんかん、かお が かっ と なった。;The moment I stepped outside, I felt a sudden wave of heat on my face.;かっ	カッ	a sudden and strong sensation of heat	feelings	temperature
彼はドアをカッと開けた。;かれ は どあ を かっ と あけた。;He opened the door with a bang.;かっ	カッ	with a bang	onomatopoeia
今日はかっこ恐ろしいほどの蒸し暑さですね。;きょう は かっこ おそろしい ほど の むしあつ さ です ね;Today is overwhelmingly stuffy, isn't it?;かっ	カッ	overwhelmingly stuffy	weather	temperature
彼の車が壁にがっガッとぶつかった。;かれ の くるま が かべ に がっ ガッ と ぶつかった。;His car collided with the wall with a crunch.;がっ	ガッ	crunching (on impact)	action	colliding
彼はリンゴをがっつりと噛んだ。;かれ は りんご を がっつり と かんだ。;He took a big crunchy bite of the apple.;がっ	ガッ	crunching	onomatopoeia
彼は突然の成功にかっかしてしまった。;かれ は とつぜん の せいこう に かっかして しまった。;He got extremely excited about his sudden success.;かっか	カッカ	"extremely excited, having a fit of passion"	emotions	affection
彼は彼女の言葉でカッカとなりました。;かれ は かのじょ の ことば で かっか と なりました。;He fumed with anger at her words.;かっか	カッカ	fuming with anger	emotions	anger
彼は怒って、顔が真っ赤になり、かっかしていた。;かれ は おこって、かお が まっか に なり、かっか していた。;He was angry, and his face turned red, flustered with emotion.;かっか	カッカ	to fluster (either from shyness or anger)	facial expression
この暑さで、体がかっかしている。;この あつさ で、 からだ が かっか して いる。;Because of this heat, my body is feeling a burning sensation.;かっか	カッカ	a burning sensation	feelings	temperature
このカレーはかっかするね。;この かれー は かっか する ね。;This curry has a spicy kick, doesn't it?;かっか	カッカ	hot (spicy)	flavour
キャンプファイヤーがかっかと燃えている。;きゃんぷ ふぁいやー が かっか と もえて いる。;The campfire is burning brightly.;かっか	カッカ	"red-hot, brightly"	state	fire
太陽がかっかと燃えている日には、外に出るとサングラスが必要だ。;たいよう が かっか と もえている ひ に は、そと に でる と さんぐらす が ひつよう だ。;On days when the sun is blazing, you need sunglasses if you go outside.;かっか	カッカ	"blazing, blinding"	weather	sunlight
